decomposition_method,sigma_px,residual_variance,residual_power_tail_median,low_frequency_gradient_p95_minus_p5,physical_uniqueness_warning,stable_image_id,source_kind,relative_path
gaussian_lowpass,8,5.09767,7143.21,3.06152,not physically unique; deterministic analysis decomposition only,img_014d9d77d1d61fed189b,blank_background,PN151_4R_CBD_DIV11 (Series 6) [1].tif
gaussian_lowpass,32,5.5303,7242.66,2.54951,not physically unique; deterministic analysis decomposition only,img_014d9d77d1d61fed189b,blank_background,PN151_4R_CBD_DIV11 (Series 6) [1].tif
gaussian_lowpass,64,5.72047,7213.86,2.34462,not physically unique; deterministic analysis decomposition only,img_014d9d77d1d61fed189b,blank_background,PN151_4R_CBD_DIV11 (Series 6) [1].tif
gaussian_lowpass,8,12.0807,13399.7,8.43413,not physically unique; deterministic analysis decomposition only,img_06494922b372657b5c88,blank_background,PN148_4R_PSP_DIV15 (Series 4) [1].tif
gaussian_lowpass,32,13.196,13223.7,7.77612,not physically unique; deterministic analysis decomposition only,img_06494922b372657b5c88,blank_background,PN148_4R_PSP_DIV15 (Series 4) [1].tif
gaussian_lowpass,64,14.218,13382.9,7.0182,not physically unique; deterministic analysis decomposition only,img_06494922b372657b5c88,blank_background,PN148_4R_PSP_DIV15 (Series 4) [1].tif
gaussian_lowpass,8,13.1768,13243.6,12.9357,not physically unique; deterministic analysis decomposition only,img_06d36760bbaf9a2f347b,blank_background,PN148_3R_PID_DIV10 (Series 6) [1].tif
gaussian_lowpass,32,16.7077,13780.8,12.3795,not physically unique; deterministic analysis decomposition only,img_06d36760bbaf9a2f347b,blank_background,PN148_3R_PID_DIV10 (Series 6) [1].tif
gaussian_lowpass,64,18.6096,14284.8,11.0293,not physically unique; deterministic analysis decomposition only,img_06d36760bbaf9a2f347b,blank_background,PN148_3R_PID_DIV10 (Series 6) [1].tif
gaussian_lowpass,8,10.3814,11335.3,8.35428,not physically unique; deterministic analysis decomposition only,img_071f2eb0e8624d5adc25,blank_background,PN148_3R_PID_DIV10 (Series 3) [1].tif
gaussian_lowpass,32,13.4131,12088.7,7.624,not physically unique; deterministic analysis decomposition only,img_071f2eb0e8624d5adc25,blank_background,PN148_3R_PID_DIV10 (Series 3) [1].tif
gaussian_lowpass,64,14.959,12221.9,6.89154,not physically unique; deterministic analysis decomposition only,img_071f2eb0e8624d5adc25,blank_background,PN148_3R_PID_DIV10 (Series 3) [1].tif
