stable_image_id,source_kind,relative_path,inferred_pn,inferred_round,inferred_condition,inferred_div,series_index,mean,std,zero_fraction,saturation_fraction,local_mean_p25,local_mean_p50,local_mean_p75,local_variance_p25,local_variance_p50,local_variance_p75,row_variation,column_variation,low_frequency_gradient_p95_minus_p5,high_frequency_residual_std,high_frequency_residual_p99_abs,directional_power_ratio,radial_power_first_bin,radial_power_tail_median,autocorrelation_first_bin,autocorrelation_tail_median,p0,p0_1,p1,p5,p25,p50,p75,p95,p99,p99_9,p100
img_014d9d77d1d61fed189b,blank_background,PN151_4R_CBD_DIV11 (Series 6) [1].tif,PN151,4R,CBD,DIV11,6,2.33564,2.46532,0.242679,0,1.85938,2.30859,2.83789,3.79634,4.89349,6.40593,0.193679,0.0910659,2.54951,2.35166,7.8181,0.90569,2.33915e+07,7048.97,0.447608,-0.0444143,0,0,0,0,1,1,3,8,11,16,92
img_06494922b372657b5c88,blank_background,PN148_4R_PSP_DIV15 (Series 4) [1].tif,PN148,4R,PSP,DIV15,4,6.066,4.35076,0.0496216,0,4.27246,5.39453,8.06323,8.24467,10.9271,17.1148,0.206913,0.335211,7.77612,3.63262,10.842,1.1602,2.50363e+08,13344,0.804318,-0.0896166,0,0,0,1,3,6,8,14,19,26,66
img_06d36760bbaf9a2f347b,blank_background,PN148_3R_PID_DIV10 (Series 6) [1].tif,PN148,3R,PID,DIV10,6,6.52051,5.84379,0.0810719,0,2.88794,5.74561,9.51221,5.39257,10.8541,18.3962,0.36481,0.321885,12.3795,4.0875,11.6789,1.05691,7.31402e+08,13947.9,0.841699,-0.0843931,0,0,0,0,3,6,9,18,24,42,152
img_071f2eb0e8624d5adc25,blank_background,PN148_3R_PID_DIV10 (Series 3) [1].tif,PN148,3R,PID,DIV10,3,4.85129,4.63339,0.142114,0,2.3103,5.01416,7.17383,4.29474,10.5651,14.672,0.448714,0.191668,7.624,3.66238,10.687,0.983249,3.23918e+08,11803.5,0.761222,-0.170095,0,0,0,0,1,4,8,13,18,36,145
img_093eea09221a4db0ebec,blank_background,PN151_4R_CBD_DIV11 (Series 1) [1].tif,PN151,4R,CBD,DIV11,1,2.39473,2.56265,0.230145,0,1.7605,2.29004,2.9043,3.28858,4.51678,6.30664,0.180542,0.204705,2.96124,2.40012,7.81234,0.970108,3.33433e+07,6199.23,0.514674,-0.0736846,0,0,0,0,1,1,3,8,11,18,72
img_0d4cd0a31114b105cf51,blank_background,PN151_4R_CBD_DIV11 (Series 9) [1].tif,PN151,4R,CBD,DIV11,9,2.93538,3.6116,0.30714,0,0.994873,1.93066,4.73315,1.86687,4.52868,11.1982,0.280794,0.506155,7.53727,2.65096,9.31378,1.0161,2.60907e+08,8644.21,0.850585,-0.280273,0,0,0,0,0,1,4,11,16,21,37
img_0f46f20cbb8877572a9b,blank_background,PN148_3R_PID_DIV10 (Series 13) [1].tif,PN148,3R,PID,DIV10,13,2.78829,2.93282,0.226009,0,1.4812,2.44775,3.92847,2.70936,5.07495,8.15675,0.18346,0.355516,4.62656,2.49097,8.18979,1.11017,1.00701e+08,6874.25,0.758663,-0.145666,0,0,0,0,1,3,4,8,13,18,66
img_10b1191cd6b41696b305,blank_background,PN148_4R_AD_DIV13 (Series 10) [1].tif,PN148,4R,AD,DIV13,10,8.55899,6.35376,0.0505047,0,3.80225,8.81055,12.5547,7.02917,18.1487,25.6552,0.650109,0.164484,13.6577,4.3142,13.1578,0.943716,9.46491e+08,17958.7,0.903489,-0.33353,0,0,0,0,3,8,13,21,26,34,59
img_17506389406a99cb56d1,blank_background,PN148_3R_PID_DIV10 (Series 9) [1].tif,PN148,3R,PID,DIV10,9,6.48049,6.04523,0.0886002,0,2.75244,4.71436,9.31689,5.47779,10.3209,20.2667,0.33168,0.527219,14.1316,3.86098,12.524,1.02097,9.36696e+08,14198,0.903733,-0.216919,0,0,0,0,3,4,9,19,26,36,61
img_197a1eda9c7e380a79bc,blank_background,PN148_3R_PID_DIV10 (Series 5) [1].tif,PN148,3R,PID,DIV10,5,5.08165,4.93225,0.201344,0,1.54419,4.85742,8.20215,2.81421,10.2219,17.5017,0.35503,0.380624,10.3275,3.39354,10.9473,1.01312,5.48616e+08,11666.4,0.888518,-0.14535,0,0,0,0,1,4,8,14,19,27,65
img_22a6ba5828c46f12f6e5,blank_background,PN151_4R_CBD_DIV11 (Series 0) [1].tif,PN151,4R,CBD,DIV11,0,5.28721,4.30656,0.100497,0,2.81812,5.87402,7.52881,6.04152,13.2155,16.7971,0.40207,0.347532,7.22084,3.503,10.9295,0.993735,2.72387e+08,15003.8,0.788943,-0.253931,0,0,0,0,1,4,8,13,18,24,51
img_2677af2396cd59353057,blank_background,PN148_3R_PID_DIV10 (Series 7) [1].tif,PN148,3R,PID,DIV10,7,5.03359,4.38311,0.108468,0,2.47925,4.61279,7.26294,4.89641,9.8771,15.7527,0.476724,0.185718,8.12353,3.38327,10.7069,0.991597,3.28459e+08,12421.4,0.838038,-0.216396,0,0,0,0,1,4,8,14,19,26,77
img_308fa0196a5896a7896b,blank_background,PN148_4R_AD_DIV13 (Series 8) [1].tif,PN148,4R,AD,DIV13,8,9.69734,6.12615,0.023138,0,5.71851,10.3604,12.9136,13.348,21.1863,26.0409,0.108448,0.56195,11.6961,4.69612,14.0256,1.05863,6.84937e+08,20907,0.845029,-0.197083,0,0,0,1,4,9,14,21,26,34,52
img_351f2b19d31066686b88,blank_background,PN148_4R_AD_DIV13 (Series 12) [1].tif,PN148,4R,AD,DIV13,12,11.1314,7.5347,0.0195055,0,5.66968,10.2017,16.4832,11.0262,21.2147,31.9666,0.539572,0.395723,16.4494,4.89433,14.762,0.980094,1.45557e+09,22036.5,0.920407,-0.289063,0,0,0,1,4,9,16,26,32,39,64
img_380582f92698aae8c505,blank_background,PN151_4R_CBD_DIV11 (Series 32) [1].tif,PN151,4R,CBD,DIV11,32,5.59715,4.79443,0.120934,0,2.15894,6.06982,8.27466,4.41968,12.5298,17.647,0.460936,0.319316,9.26042,3.51296,10.9155,1.05482,4.60896e+08,13843.3,0.874736,-0.200294,0,0,0,0,1,4,9,14,19,26,64
img_3e48ea79cdd6eb2f3608,blank_background,PN148_3R_PID_DIV10 (Series 14) [1].tif,PN148,3R,PID,DIV10,14,3.09904,2.95519,0.180925,0,1.95605,2.70898,4.0769,3.45019,5.16134,8.03298,0.208809,0.314827,4.87881,2.5103,7.9736,1.05309,1.03866e+08,5618.94,0.818236,-0.0633321,0,0,0,0,1,3,4,9,13,18,39
img_42e8d8a784a69489e580,blank_background,PN151_4R_CBD_DIV11 (Series 11) [1].tif,PN151,4R,CBD,DIV11,11,3.80346,3.80713,0.159724,0,1.96338,2.75049,5.2041,3.77313,5.84069,11.8198,0.369403,0.388469,7.70417,2.92249,9.54173,1.00864,2.59561e+08,9770.64,0.845122,-0.271786,0,0,0,0,1,3,6,11,16,23,54
img_44974790651d1b7badfa,blank_background,PN148_3R_AD_DIV15 (Series 13) [1].tif,PN148,3R,AD,DIV15,13,5.56618,4.24933,0.0771112,0,3.20801,5.84766,7.66992,6.64485,12.2308,15.7643,0.268523,0.313026,7.02794,3.49717,10.6546,0.998563,2.53277e+08,12092.2,0.81266,-0.11496,0,0,0,0,3,4,8,14,18,24,44
img_4b1f1b0523dd6c73177c,blank_background,PN151_4R_CBD_DIV11 (Series 12) [1].tif,PN151,4R,CBD,DIV11,12,4.53431,4.11782,0.1287,0,2.20142,3.92383,6.66748,4.15795,7.7239,14.8399,0.253645,0.518065,7.87506,3.1512,10.1348,1.11712,2.99227e+08,10709.3,0.853752,-0.287223,0,0,0,0,1,3,6,13,18,24,47
img_4d5ab86fec7995e4762a,blank_background,PN151_4R_CBD_DIV11 (Series 4) [1].tif,PN151,4R,CBD,DIV11,4,4.06357,3.89242,0.164985,0,2.01807,3.79297,5.92456,4.11248,9.39164,13.353,0.331782,0.377125,6.78763,3.17605,10.3053,1.00235,2.14057e+08,11756.8,0.759281,-0.253463,0,0,0,0,1,3,6,11,16,24,62
img_4ec66ad0f9ecacf25377,blank_background,PN151_4R_CBD_DIV11 (Series 22) [1].tif,PN151,4R,CBD,DIV11,22,2.90547,3.05442,0.210998,0,1.729,2.41357,3.8606,3.34581,5.16351,8.55145,0.403243,0.149848,4.7802,2.61395,8.92675,0.791035,9.8801e+07,7603.64,0.715126,-0.147985,0,0,0,0,1,3,4,9,13,19,62
img_554468edaeb27daf1a00,blank_background,PN148_4R_AD_DIV13 (Series 13) [1].tif,PN148,4R,AD,DIV13,13,6.64417,4.54516,0.0404692,0,4.16504,6.79736,8.52588,7.83871,13.5324,17.6585,0.371895,0.215271,8.12839,3.76143,11.1761,1.01093,2.80701e+08,13527.2,0.831089,-0.149432,0,0,0,1,3,6,9,14,19,26,49
img_5882372f16349d4ccf22,blank_background,PN148_3R_AD_DIV15 (Series 8) [1].tif,PN148,3R,AD,DIV15,8,6.42289,5.43361,0.113094,0,2.87109,5.79346,9.92407,5.4667,12.7459,19.4426,0.410276,0.4487,11.5985,3.66073,11.2637,1.03161,6.97741e+08,11759.5,0.92096,-0.225175,0,0,0,0,3,6,9,16,22,28,49
img_6fcc906a6259240a019e,blank_background,PN148_3R_AD_DIV15 (Series 11) [1].tif,PN148,3R,AD,DIV15,11,5.71854,4.63623,0.092473,0,2.61011,6.12842,8.37842,5.04136,13.1413,16.6931,0.23453,0.525953,8.6382,3.47084,10.5913,1.03503,4.15239e+08,12321.4,0.889432,-0.278731,0,0,0,0,3,4,9,14,19,24,41
img_7614f115c69c8f5322b1,blank_background,PN148_4R_AD_DIV13 (Series 6) [1].tif,PN148,4R,AD,DIV13,6,6.48606,4.8011,0.0512648,0,3.7085,5.72314,9.55151,6.88441,11.8922,19.5323,0.289627,0.459077,8.80935,3.71706,11.0796,1.00879,4.04242e+08,13138.5,0.867563,-0.293582,0,0,0,0,3,6,9,16,21,26,52
img_7feb5e8e13265c3c18f0,blank_background,PN148_4R_PSP_DIV15 (Series 6) [1].tif,PN148,4R,PSP,DIV15,6,7.09312,5.39067,0.0600348,0,3.48608,6.94336,9.89722,6.60991,13.753,20.852,0.367087,0.317544,11.0369,3.92088,12.0619,0.887983,5.88438e+08,14378.9,0.877618,-0.0558504,0,0,0,0,3,6,11,18,23,29,57
img_84c0549996fe08b21c59,blank_background,PN151_4R_CBD_DIV11 (Series 5) [1].tif,PN151,4R,CBD,DIV11,5,2.12357,2.6153,0.295521,0,1.44995,1.94092,2.71533,3.0824,4.48833,6.76965,0.233051,0.173084,3.04523,2.4436,8.22783,0.96211,3.39971e+07,8087.42,0.424405,-0.102184,0,0,0,0,0,1,3,8,11,19,81
img_8995027102563a3627f3,blank_background,PN148_4R_PSP_DIV15 (Series 10) [1].tif,PN148,4R,PSP,DIV15,10,7.08918,4.96269,0.0612745,0,5.11328,6.75928,9.64868,10.2599,14.0035,19.5406,0.372472,0.321533,10.2096,3.9511,11.9156,0.904766,3.8646e+08,15175.9,0.834965,-0.205883,0,0,0,0,3,6,9,16,21,27,46
