proxy_estimator_name,proxy_warning,proxy_threshold,foreground_occupancy_proxy,ridge_response_p50,ridge_response_p95,orientation_mean_proxy,orientation_resultant_length_proxy,apparent_width_proxy_p50,component_length_proxy_p50,local_snr_proxy,endpoint_candidate_density,crossing_candidate_density,proxy_sensitivity_range,proxy_uncertainty,stable_image_id,source_kind,relative_path,inferred_condition,inferred_div
mad_threshold_components_gradient_orientation,proxy estimate only; not ground truth,20.7912,0.000261307,1.80278,4.5,1.49172,0.00826422,not_available,1,6.24862,0,0,"threshold_mad_k=[4.0, 8.0]",broad; threshold-sensitive and unverified without labels,img_00273a310a71b5db79f4,fiber_image,PN148_4R_AD_DIV10 (Series 4) [1].tif,AD,DIV10
mad_threshold_components_gradient_orientation,proxy estimate only; not ground truth,91,0.0100021,2.82843,9.92472,1.51554,0.0518565,7,1,8.50269,3.62396e-05,2.09808e-05,"threshold_mad_k=[4.0, 8.0]",broad; threshold-sensitive and unverified without labels,img_05ef13116918fe81f04f,fiber_image,PN148_3R_AD_DIV05 (Series 14) [1].tif,AD,DIV05
mad_threshold_components_gradient_orientation,proxy estimate only; not ground truth,50.478,1.04904e-05,2.5,7.07107,1.50633,0.0209885,not_available,1,7.76819,0,0,"threshold_mad_k=[4.0, 8.0]",broad; threshold-sensitive and unverified without labels,img_0c8a0b5f3edf1b944767,fiber_image,PN151_4R_CBD_DIV09 (Series 7) [1].tif,CBD,DIV09
mad_threshold_components_gradient_orientation,proxy estimate only; not ground truth,30.6868,0.00140572,2.5,6.0208,1.49788,0.024488,6,1,7.84704,2.67029e-05,1.90735e-05,"threshold_mad_k=[4.0, 8.0]",broad; threshold-sensitive and unverified without labels,img_11be543bc5496ac91286,fiber_image,PN148_3R_AD_DIV11 (Series 10) [1].tif,AD,DIV11
mad_threshold_components_gradient_orientation,proxy estimate only; not ground truth,32.6868,0.000228882,2.69258,6.5,1.51231,0.0236438,not_available,1,6.4061,0,0,"threshold_mad_k=[4.0, 8.0]",broad; threshold-sensitive and unverified without labels,img_18c88a5dbc0dccf62c2b,fiber_image,PN148_4R_AD_DIV11 (Series 0) [1].tif,AD,DIV11
mad_threshold_components_gradient_orientation,proxy estimate only; not ground truth,30.6868,0.00619125,2,6.40312,1.49412,0.0306944,6,1,6.51416,6.38962e-05,2.95639e-05,"threshold_mad_k=[4.0, 8.0]",broad; threshold-sensitive and unverified without labels,img_1d7ccf3c094483b24e48,fiber_image,PN148_4R_PSP_DIV10 (Series 11) [1].tif,PSP,DIV10
mad_threshold_components_gradient_orientation,proxy estimate only; not ground truth,30.6868,0.000117302,2.23607,5.70088,1.47676,0.0246709,4,1,6.93139,2.86102e-06,0,"threshold_mad_k=[4.0, 8.0]",broad; threshold-sensitive and unverified without labels,img_2358b4c0243cb146ebdf,fiber_image,PN151_4R_CBD_DIV11 (Series 2) [1].tif,CBD,DIV11
mad_threshold_components_gradient_orientation,proxy estimate only; not ground truth,150,0.010335,4.30116,13.435,1.52408,0.0235528,6,1,7.46494,4.29153e-05,2.00272e-05,"threshold_mad_k=[4.0, 8.0]",broad; threshold-sensitive and unverified without labels,img_2a83cf27e86fd0275008,fiber_image,PN148_3R_AD_DIV10 (Series 3) [1].tif,AD,DIV10
mad_threshold_components_gradient_orientation,proxy estimate only; not ground truth,39,0.0104313,2.5,7.5,1.50341,0.0492323,6,1,6.45488,0.000142097,7.43866e-05,"threshold_mad_k=[4.0, 8.0]",broad; threshold-sensitive and unverified without labels,img_2fa4cb54c075c955d833,fiber_image,PN148_3R_AD_DIV07 (Series 12) [1].tif,AD,DIV07
mad_threshold_components_gradient_orientation,proxy estimate only; not ground truth,30.6868,0.00110912,2.12132,5.70088,1.49103,0.00853434,6,1,7.82105,1.43051e-05,9.53674e-06,"threshold_mad_k=[4.0, 8.0]",broad; threshold-sensitive and unverified without labels,img_326a83325050177883ff,fiber_image,PN148_3R_AD_DIV10 (Series 6) [1].tif,AD,DIV10
