stable_image_id,source_kind,relative_path,inferred_pn,inferred_round,inferred_condition,inferred_div,series_index,mean,std,zero_fraction,saturation_fraction,local_mean_p25,local_mean_p50,local_mean_p75,local_variance_p25,local_variance_p50,local_variance_p75,row_variation,column_variation,low_frequency_gradient_p95_minus_p5,high_frequency_residual_std,high_frequency_residual_p99_abs,directional_power_ratio,radial_power_first_bin,radial_power_tail_median,autocorrelation_first_bin,autocorrelation_tail_median,p0,p0_1,p1,p5,p25,p50,p75,p95,p99,p99_9,p100
img_00273a310a71b5db79f4,fiber_image,PN148_4R_AD_DIV10 (Series 4) [1].tif,PN148,4R,AD,DIV10,4,3.37743,2.89618,0.128887,0,2.33936,3.01074,3.92505,4.14913,5.62976,7.65289,0.25177,0.238656,4.56466,2.54277,7.68902,1.01766,8.65667e+07,5943.18,0.836166,-0.138251,0,0,0,0,1,3,4,9,13,18,29
img_05ef13116918fe81f04f,fiber_image,PN148_3R_AD_DIV05 (Series 14) [1].tif,PN148,3R,AD,DIV05,14,11.7609,16.3706,0.0941267,0,3.22241,9.77881,14.353,6.58691,22.6624,63.8363,0.334836,0.273239,28.5987,11.5585,53.0023,0.979778,4.82827e+09,48162.4,0.72645,-0.027541,0,0,0,0,3,8,14,37,91,152,242
img_0c8a0b5f3edf1b944767,fiber_image,PN151_4R_CBD_DIV09 (Series 7) [1].tif,PN151,4R,CBD,DIV09,7,7.09788,6.18101,0.102156,0,2.42773,6.12598,11.5391,4.44536,14.1047,24.7493,0.427364,0.439649,13.0258,3.93756,12.3563,1.00713,9.94571e+08,16976.8,0.915325,-0.232141,0,0,0,0,3,6,11,19,24,31,69
img_11be543bc5496ac91286,fiber_image,PN148_3R_AD_DIV11 (Series 10) [1].tif,PN148,3R,AD,DIV11,10,5.40751,4.40634,0.0832243,0,3.70337,5.23877,7.2334,7.43698,11.2167,15.8321,0.337377,0.190598,7.60315,3.70883,11.3337,1.0439,2.38208e+08,14628.2,0.708858,-0.07502,0,0,0,0,3,4,8,13,19,34,95
img_18c88a5dbc0dccf62c2b,fiber_image,PN148_4R_AD_DIV11 (Series 0) [1].tif,PN148,4R,AD,DIV11,0,6.55955,4.70441,0.0416946,0,4.60034,6.1748,8.08521,10.1443,13.6227,18.7704,0.331859,0.117193,8.05855,3.98521,12.3226,0.757379,2.56632e+08,16417.9,0.741531,-0.0571177,0,0,0,1,3,6,9,16,21,29,56
img_1d7ccf3c094483b24e48,fiber_image,PN148_4R_PSP_DIV10 (Series 11) [1].tif,PN148,4R,PSP,DIV10,11,5.42605,6.04622,0.17807,0,1.80054,4.45508,8.18164,3.61012,9.87239,18.1105,0.541457,0.228544,12.0864,4.26733,14.2248,0.840074,7.66935e+08,16405.5,0.78202,-0.22843,0,0,0,0,1,4,8,16,26,52,134
img_2358b4c0243cb146ebdf,fiber_image,PN151_4R_CBD_DIV11 (Series 2) [1].tif,PN151,4R,CBD,DIV11,2,5.09025,4.05169,0.0923967,0,2.86035,5.54785,6.96851,6.17103,11.8051,15.3374,0.314663,0.371212,6.53289,3.38932,10.6556,1.03119,2.11846e+08,13216.3,0.774249,-0.264155,0,0,0,0,3,4,8,13,18,24,49
img_2a83cf27e86fd0275008,fiber_image,PN148_3R_AD_DIV10 (Series 3) [1].tif,PN148,3R,AD,DIV10,3,23.428,26.6286,0.00761986,3.43323e-05,10.7178,16.3511,27.0425,26.7598,48.5114,115.692,0.351507,0.306181,51.3439,16.8831,80.2606,0.961498,1.50126e+10,79968.1,0.806259,-0.02093,0,0,1,3,9,16,27,71,150,212,255
img_2fa4cb54c075c955d833,fiber_image,PN148_3R_AD_DIV07 (Series 12) [1].tif,PN148,3R,AD,DIV07,12,7.09379,8.09922,0.0970125,0,3.49902,5.26953,9.57666,6.85748,11.6645,35.1559,0.369431,0.290609,15.8609,6.1347,25.2808,0.937857,1.12604e+09,27748,0.654355,-0.0926245,0,0,0,0,3,4,9,21,39,69,220
img_326a83325050177883ff,fiber_image,PN148_3R_AD_DIV10 (Series 6) [1].tif,PN148,3R,AD,DIV10,6,5.05611,4.39214,0.139942,0,3.13672,5.19092,6.92578,6.32464,10.5857,14.3463,0.304655,0.462372,8.78673,3.46326,10.4482,1.01597,3.0711e+08,11942.9,0.785296,-0.245905,0,0,0,0,1,4,8,13,18,31,97
img_3833189ffe66380cff12,fiber_image,PN151_4R_CBD_DIV11 (Series 11) [1].tif,PN151,4R,CBD,DIV11,11,3.80346,3.80713,0.159724,0,1.96338,2.75049,5.2041,3.77313,5.84069,11.8198,0.369403,0.388469,7.70417,2.92249,9.54173,1.00864,2.59561e+08,9770.64,0.845122,-0.271786,0,0,0,0,1,3,6,11,16,23,54
img_3eb9582a5c396fb263cd,fiber_image,PN148_3R_AD_DIV10 (Series 5) [1].tif,PN148,3R,AD,DIV10,5,19.7632,27.3879,0.0531702,0.000112534,5.80615,12.5869,22.8196,13.1766,33.3597,91.42,0.304046,0.426499,54.6092,14.4986,66.1046,1.55525,2.09463e+10,61739.1,0.864301,-0.0269727,0,0,0,0,4,11,23,69,150,214,255
img_426adddcfa9cb91e899e,fiber_image,PN148_4R_PSP_DIV7 (Series 4) [1].tif,PN148,4R,PSP,DIV7,4,6.81109,12.1026,0.13782,0,1.99902,3.44189,6.96948,3.73967,7.22246,15.9323,0.424935,0.308659,24.4504,7.10197,28.4448,0.723376,3.81648e+09,19207.6,0.844722,-0.10574,0,0,0,0,1,3,8,24,62,130,195
