crop_id,parent_image_id,source_image_id,split_group_id,split,crop_origin_y,crop_origin_x,crop_height,crop_width,fibrous_tau_pixels,clump_pixels,uncertain_ignore_pixels,skeleton_pixels,skeleton_annotation_available
img_05ef13116918fe81f04f__crop_0000,img_05ef13116918fe81f04f,img_05ef13116918fe81f04f,PN148_AD_3R_DIV05,validation,0,0,128,128,0,0,0,0,true
img_05ef13116918fe81f04f__crop_0001,img_05ef13116918fe81f04f,img_05ef13116918fe81f04f,PN148_AD_3R_DIV05,validation,0,128,128,128,0,0,0,0,true
img_05ef13116918fe81f04f__crop_0002,img_05ef13116918fe81f04f,img_05ef13116918fe81f04f,PN148_AD_3R_DIV05,validation,0,256,128,128,0,0,0,0,true
img_05ef13116918fe81f04f__crop_0003,img_05ef13116918fe81f04f,img_05ef13116918fe81f04f,PN148_AD_3R_DIV05,validation,0,384,128,128,0,0,0,0,true
img_05ef13116918fe81f04f__crop_0004,img_05ef13116918fe81f04f,img_05ef13116918fe81f04f,PN148_AD_3R_DIV05,validation,0,512,128,128,0,0,0,0,true
img_05ef13116918fe81f04f__crop_0005,img_05ef13116918fe81f04f,img_05ef13116918fe81f04f,PN148_AD_3R_DIV05,validation,0,640,128,128,0,0,0,0,true
img_05ef13116918fe81f04f__crop_0006,img_05ef13116918fe81f04f,img_05ef13116918fe81f04f,PN148_AD_3R_DIV05,validation,0,768,128,128,0,0,0,0,true
img_05ef13116918fe81f04f__crop_0007,img_05ef13116918fe81f04f,img_05ef13116918fe81f04f,PN148_AD_3R_DIV05,validation,0,896,128,128,0,0,0,0,true
img_05ef13116918fe81f04f__crop_0008,img_05ef13116918fe81f04f,img_05ef13116918fe81f04f,PN148_AD_3R_DIV05,validation,128,0,128,128,33,0,0,12,true
img_05ef13116918fe81f04f__crop_0009,img_05ef13116918fe81f04f,img_05ef13116918fe81f04f,PN148_AD_3R_DIV05,validation,128,128,128,128,0,1933,546,0,true
img_05ef13116918fe81f04f__crop_0010,img_05ef13116918fe81f04f,img_05ef13116918fe81f04f,PN148_AD_3R_DIV05,validation,128,256,128,128,339,94,573,99,true
img_05ef13116918fe81f04f__crop_0011,img_05ef13116918fe81f04f,img_05ef13116918fe81f04f,PN148_AD_3R_DIV05,validation,128,384,128,128,556,717,1346,129,true
img_05ef13116918fe81f04f__crop_0012,img_05ef13116918fe81f04f,img_05ef13116918fe81f04f,PN148_AD_3R_DIV05,validation,128,512,128,128,420,401,1220,130,true
img_05ef13116918fe81f04f__crop_0013,img_05ef13116918fe81f04f,img_05ef13116918fe81f04f,PN148_AD_3R_DIV05,validation,128,640,128,128,133,0,947,25,true
img_05ef13116918fe81f04f__crop_0014,img_05ef13116918fe81f04f,img_05ef13116918fe81f04f,PN148_AD_3R_DIV05,validation,128,768,128,128,503,0,10,144,true
img_05ef13116918fe81f04f__crop_0015,img_05ef13116918fe81f04f,img_05ef13116918fe81f04f,PN148_AD_3R_DIV05,validation,128,896,128,128,19,0,0,0,true
img_05ef13116918fe81f04f__crop_0016,img_05ef13116918fe81f04f,img_05ef13116918fe81f04f,PN148_AD_3R_DIV05,validation,256,0,128,128,2095,0,0,512,true
