sample_id,image_identity,source_root_id,image_relative_path,source_sha256,annotation_root_id,annotation_image_relative_path,annotation_image_sha256,labels_relative_path,labels_sha256,snakes_relative_path,snakes_sha256,skeleton_annotation_available,shape_y,shape_x,culture_id,disease,tau_isoform,experimental_condition,div,div_token,series_index,acquisition_group,experimental_group_id,split_group_id,split,biological_grouping_status,background_pixels,fibrous_tau_pixels,clump_pixels,uncertain_ignore_pixels,background_components,fibrous_tau_components,clump_components,uncertain_ignore_components,snake_count,usable_snake_count,flagged_snake_count,skeleton_pixels,clipped_nonfibrous_snake_pixels,validation_status,problems
img_05ef13116918fe81f04f,PN148_3R_AD_DIV05 (Series 14) [1],sted_fiber_data,PN148_3R_AD_DIV05 (Series 14) [1].tif,70632c9aaa9c3acaec4429d6d8f6e294f83039e6e668c9015e46d0084ae845bc,real_annotations,PN148_3R_AD_DIV05 (Series 14) [1].tif,70632c9aaa9c3acaec4429d6d8f6e294f83039e6e668c9015e46d0084ae845bc,PN148_3R_AD_DIV05 (Series 14) [1].labeling,4f7cde802deaa281844d7f02abef458ab5b4e2fdf4d5cdf257f2b109415ddf11,PN148_3R_AD_DIV05 (Series 14) [1].txt,7fd1ef7c2888845bd1597aa99b158b37ac4544aeb555dcab653ec753f7a903d8,true,1024,1024,PN148,AD,3R,AD_3R,5,DIV05,14,PN148_3R_AD_DIV05,PN148_AD_3R_DIV05,PN148_AD_3R_DIV05,validation,provisional_experimental_group_from_existing_manifest,931226,32008,27055,58287,111,102,10,179,113,113,0,7793,107,valid,none
img_6c2ecbaaa6ef986d7a8a,PN148_3R_AD_DIV05 (Series 3) [1],sted_fiber_data,PN148_3R_AD_DIV05 (Series 3) [1].tif,2fe594ac859ff88c1a932af44b9a2b8799bdecf61e4752dbae34fa31bd63a0a8,real_annotations,PN148_3R_AD_DIV05 (Series 3) [1].tif,2fe594ac859ff88c1a932af44b9a2b8799bdecf61e4752dbae34fa31bd63a0a8,PN148_3R_AD_DIV05 (Series 3) [1].labeling,d3bbd7b77d3e9bfd22168e7b456e66099dcffb162400ff46b0200b412082a079,PN148_3R_AD_DIV05 (Series 3) [1].txt,b81a460a6f88193f19ee4104ffe2e1efd8c8f7935c47c8788565393080bbd85c,true,1024,1024,PN148,AD,3R,AD_3R,5,DIV05,3,PN148_3R_AD_DIV05,PN148_AD_3R_DIV05,PN148_AD_3R_DIV05,validation,provisional_experimental_group_from_existing_manifest,930486,24573,18095,75422,117,91,6,255,90,90,0,6286,36,valid,none
img_af6313c152e9bc38a66c,PN148_3R_AD_DIV07 (Series 0) [1],sted_fiber_data,PN148_3R_AD_DIV07 (Series 0) [1].tif,b5839d73dfc9928827dc502f7347d3fbe79507b9f07eddcbd34723eea8e2b74e,real_annotations,PN148_3R_AD_DIV07 (Series 0) [1].tif,b5839d73dfc9928827dc502f7347d3fbe79507b9f07eddcbd34723eea8e2b74e,PN148_3R_AD_DIV07 (Series 0) [1].labeling,63119a8d973191faff2129040fc0a2fccb4d2a0ab6c1749cdccc722935f3449e,PN148_3R_AD_DIV07 (Series 0) [1].txt,031ec7e07850774e95da92a51544d920ee40c12067336e2e61846daa8f4c5067,true,1024,1024,PN148,AD,3R,AD_3R,7,DIV07,0,PN148_3R_AD_DIV07,PN148_AD_3R_DIV07,PN148_AD_3R_DIV07,test,provisional_experimental_group_from_existing_manifest,981429,6908,14469,45770,39,33,4,118,37,35,2,1900,65,valid,none
img_2a83cf27e86fd0275008,PN148_3R_AD_DIV10 (Series 3) [1],sted_fiber_data,PN148_3R_AD_DIV10 (Series 3) [1].tif,8c19505641ce557f9a4d6a27e28b4e3c9533dae4ebdd334c605dc9a43fc471e3,real_annotations,PN148_3R_AD_DIV10 (Series 3) [1].tif,8c19505641ce557f9a4d6a27e28b4e3c9533dae4ebdd334c605dc9a43fc471e3,PN148_3R_AD_DIV10 (Series 3) [1].labeling,a9080119311b3bed4cc8442a81a4dbaa974b45fe211e59b5f0dc77dba6fc0901,PN148_3R_AD_DIV10 (Series 3) [1].txt,a184de761ae5ccc2a064df1501c1cc6657062a43f64e77eeaa8c81c684823606,true,1024,1024,PN148,AD,3R,AD_3R,10,DIV10,3,PN148_3R_AD_DIV10,PN148_AD_3R_DIV10,PN148_AD_3R_DIV10,calibration,provisional_experimental_group_from_existing_manifest,870796,21691,47235,108854,159,47,15,653,47,47,0,3436,24,valid,none
img_0040227f2d45f5a55970,PN148_3R_PID_DIV05 (Series 0) [1],sted_fiber_data,PN148_3R_PID_DIV05 (Series 0) [1].tif,cf28311046b7e4fc05260be897d8b30bab156a99eb4c38c4c5a6ef4b3ef524c0,real_annotations,PN148_3R_PID_DIV05 (Series 0) [1].tif,cf28311046b7e4fc05260be897d8b30bab156a99eb4c38c4c5a6ef4b3ef524c0,PN148_3R_PID_DIV05 (Series 0) [1].labeling,485a5cc227424fa75eef55c711a9d3b626a127e507242feab0e9ca35add5a386,PN148_3R_PID_DIV05 (Series 0) [1].txt,0a6d95d13a8fee51359225e13d79de7c2dc9f0347419af80dbe7512101f8cb29,true,1024,1024,PN148,PID,3R,PID_3R,5,DIV05,0,PN148_3R_PID_DIV05,PN148_PID_3R_DIV05,PN148_PID_3R_DIV05,validation,provisional_experimental_group_from_existing_manifest,955316,61737,4135,27388,147,28,1,49,55,55,0,11357,284,valid,none
img_467a144c1914e7179f96,PN148_3R_PID_DIV05 (Series 10) [1],sted_fiber_data,PN148_3R_PID_DIV05 (Series 10) [1].tif,ad960398dae594a55a9cc6bb08a13d64b18a309c6ccf72a82450672f204ac9c2,real_annotations,PN148_3R_PID_DIV05 (Series 10) [1].tif,ad960398dae594a55a9cc6bb08a13d64b18a309c6ccf72a82450672f204ac9c2,PN148_3R_PID_DIV05 (Series 10) [1].labeling,71d0b7fc9b03b3e26600efdb193bb6a925a85dfa2cbf767f214e6feaf0baad7c,PN148_3R_PID_DIV05 (Series 10) [1].txt,a10e3a0552c26419b9e7c8702298b2da067bd820b53777566699d1cdf4d30849,true,1024,1024,PN148,PID,3R,PID_3R,5,DIV05,10,PN148_3R_PID_DIV05,PN148_PID_3R_DIV05,PN148_PID_3R_DIV05,validation,provisional_experimental_group_from_existing_manifest,956390,66729,0,25457,115,43,0,55,83,83,0,17060,181,valid,none
img_2682051c7397e1b12852,PN148_3R_PID_DIV05 (Series 2) [1],sted_fiber_data,PN148_3R_PID_DIV05 (Series 2) [1].tif,f03680df0b973bb8b8d471dece1b38fc783445e784b63c679ab47aefa34e14e4,real_annotations,PN148_3R_PID_DIV05 (Series 2) [1].tif,f03680df0b973bb8b8d471dece1b38fc783445e784b63c679ab47aefa34e14e4,PN148_3R_PID_DIV05 (Series 2) [1].labeling,345c7b1e1587842f92c24f0ba75c4dc68102a5523afa6c46a1d51f70fdb6143a,PN148_3R_PID_DIV05 (Series 2) [1].txt,723d5675508d36da972a0e37e643a4d5d8cc4adb34459f5b64830d20bb3eefaf,true,1024,1024,PN148,PID,3R,PID_3R,5,DIV05,2,PN148_3R_PID_DIV05,PN148_PID_3R_DIV05,PN148_PID_3R_DIV05,validation,provisional_experimental_group_from_existing_manifest,1013278,34744,0,554,23,21,0,5,39,35,4,9678,2379,valid,none
img_dca55343b014ab0419c4,PN148_3R_PID_DIV7 (Series 14) [1],sted_fiber_data,PN148_3R_PID_DIV7 (Series 14) [1].tif,86feae3d2fdacc005abcc7b8357e3f6288cf7580763a17d9dca037e53d3a2cb5,real_annotations,PN148_3R_PID_DIV7 (Series 14) [1].tif,86feae3d2fdacc005abcc7b8357e3f6288cf7580763a17d9dca037e53d3a2cb5,PN148_3R_PID_DIV7 (Series 14) [1].labeling,b647ad019220f9444f77fc912a54965629963ca8d5ff3af8431a3f81ba772720,PN148_3R_PID_DIV7 (Series 14) [1].txt,46e77052178df40c2bcae2c57f7313e6b4de1317ad25f954e7039d11772a6d91,true,1024,1024,PN148,PID,3R,PID_3R,7,DIV7,14,PN148_3R_PID_DIV7,PN148_PID_3R_DIV07,PN148_PID_3R_DIV07,test,provisional_experimental_group_from_existing_manifest,882340,142801,0,23435,223,42,0,76,158,158,0,33837,896,valid,none
img_839563e0a840ae895b70,PN148_4R_AD_DIV03 (Series 10) [1],sted_fiber_data,PN148_4R_AD_DIV03 (Series 10) [1].tif,126f01448daeb6e96dfbe0ff9dc71a233c0c52f936c84b0b1cda3435c2907f5f,real_annotations,PN148_4R_AD_DIV03 (Series 10) [1].tif,126f01448daeb6e96dfbe0ff9dc71a233c0c52f936c84b0b1cda3435c2907f5f,PN148_4R_AD_DIV03 (Series 10) [1].labeling,437eddf704b5a3671fb5354cc8e85a99f1d4dce0b6d2964ccac864deda009d13,PN148_4R_AD_DIV03 (Series 10) [1].txt,b70c378367e1c836a122041bfd17f78362ab4351fdd4702ae99b571a6ac70e2e,true,1024,1024,PN148,AD,4R,AD_4R,3,DIV03,10,PN148_4R_AD_DIV03,PN148_AD_4R_DIV03,PN148_AD_4R_DIV03,train,provisional_experimental_group_from_existing_manifest,760126,12427,114148,161875,164,46,13,312,52,52,0,3618,153,valid,none
img_6cca2db2f0fbf1c19322,PN148_4R_AD_DIV03 (Series 11) [1],sted_fiber_data,PN148_4R_AD_DIV03 (Series 11) [1].tif,6e9f712b4f0c159b1d2d90b0d79ee4694c34a3a083e44abc4bc270c82dfbedfe,real_annotations,PN148_4R_AD_DIV03 (Series 11) [1].tif,6e9f712b4f0c159b1d2d90b0d79ee4694c34a3a083e44abc4bc270c82dfbedfe,PN148_4R_AD_DIV03 (Series 11) [1].labeling,df4e27a1fec66c18225d4a40ef4f8296c0a711ea2f31de874f0aad591ef15e3c,PN148_4R_AD_DIV03 (Series 11) [1].txt,1e758f14362b483c49caff37886dee5ff221cd263d36013cd116dd6f4614e4e3,true,1024,1024,PN148,AD,4R,AD_4R,3,DIV03,11,PN148_4R_AD_DIV03,PN148_AD_4R_DIV03,PN148_AD_4R_DIV03,train,provisional_experimental_group_from_existing_manifest,794529,14557,108226,131264,300,70,12,266,83,72,11,3655,260,valid,none
