sample_id,split,source_kind,source_image_id,npz_path,npz_sha256,json_path,json_sha256,schema_version,generator_version
PN148_3R_PID_DIV05__Series_2___1__crop_0000,train,real,PN148_3R_PID_DIV05__Series_2___1,../../examples/real_annotation_crops_loo/loo_PSP/PN148_3R_PID_DIV05__Series_2___1__crop_0000.npz,e8ad38464b8f8e3a09b01effe4b07722a4f177c9787cb1fa3bd4002a6ac649e9,../../examples/real_annotation_crops_loo/loo_PSP/PN148_3R_PID_DIV05__Series_2___1__crop_0000.json,05a07eff103712c54f83ec0fc000a2ebc492da47fe71488b770bc3f996de4e88,real_annotation_crop_0.1.0,real_crop_builder_0.1.0
PN148_3R_PID_DIV05__Series_2___1__crop_0001,train,real,PN148_3R_PID_DIV05__Series_2___1,../../examples/real_annotation_crops_loo/loo_PSP/PN148_3R_PID_DIV05__Series_2___1__crop_0001.npz,8fdf677baf2043ae216d09be3829c1728c3e1f217ccba527baaebd7960e0a312,../../examples/real_annotation_crops_loo/loo_PSP/PN148_3R_PID_DIV05__Series_2___1__crop_0001.json,31882f24b54b52a860230cbfcdfb1577e7dc1822d1c4194e3a19846b34057be8,real_annotation_crop_0.1.0,real_crop_builder_0.1.0
PN148_3R_PID_DIV05__Series_2___1__crop_0002,train,real,PN148_3R_PID_DIV05__Series_2___1,../../examples/real_annotation_crops_loo/loo_PSP/PN148_3R_PID_DIV05__Series_2___1__crop_0002.npz,bcc75b73acd4b5c4ed008b40a7ffceddc3cc83102cdb646ce4ba9d0d37497c72,../../examples/real_annotation_crops_loo/loo_PSP/PN148_3R_PID_DIV05__Series_2___1__crop_0002.json,858e8c6711b9c595d09ba9b10e490fc195cde2170bd122f85d7a9dfde752860a,real_annotation_crop_0.1.0,real_crop_builder_0.1.0
PN148_3R_PID_DIV05__Series_2___1__crop_0003,train,real,PN148_3R_PID_DIV05__Series_2___1,../../examples/real_annotation_crops_loo/loo_PSP/PN148_3R_PID_DIV05__Series_2___1__crop_0003.npz,3ac4a54c4e01cb6fb0232113a41c4a65a0df6f415e84f13f0e28059ae823f2c9,../../examples/real_annotation_crops_loo/loo_PSP/PN148_3R_PID_DIV05__Series_2___1__crop_0003.json,872c1dc8a36d79ab2074a1e1fcea25df5cad5f2eafb6495c320dfd599f1be22d,real_annotation_crop_0.1.0,real_crop_builder_0.1.0
PN148_3R_PID_DIV05__Series_2___1__crop_0004,train,real,PN148_3R_PID_DIV05__Series_2___1,../../examples/real_annotation_crops_loo/loo_PSP/PN148_3R_PID_DIV05__Series_2___1__crop_0004.npz,299772419a526047a83513a3fd8283dabcd6cf9507d6c12dffa9a1cdc60af229,../../examples/real_annotation_crops_loo/loo_PSP/PN148_3R_PID_DIV05__Series_2___1__crop_0004.json,e449b671c6eda0b3ebc2b6adf8bbe83081dfff3e19a54cc18c1845adc6fdb7d9,real_annotation_crop_0.1.0,real_crop_builder_0.1.0
PN148_3R_PID_DIV05__Series_2___1__crop_0005,train,real,PN148_3R_PID_DIV05__Series_2___1,../../examples/real_annotation_crops_loo/loo_PSP/PN148_3R_PID_DIV05__Series_2___1__crop_0005.npz,93b0764183bbca5b64edd916c9fa148cb4e0d3b86117f6f20d82c706078321cd,../../examples/real_annotation_crops_loo/loo_PSP/PN148_3R_PID_DIV05__Series_2___1__crop_0005.json,da3bdf044574ceb7533fa88e47e574283d07877dec6f4281275e48e90296f74b,real_annotation_crop_0.1.0,real_crop_builder_0.1.0
PN148_3R_PID_DIV05__Series_2___1__crop_0006,train,real,PN148_3R_PID_DIV05__Series_2___1,../../examples/real_annotation_crops_loo/loo_PSP/PN148_3R_PID_DIV05__Series_2___1__crop_0006.npz,dcaf9098ce6e5f4c7d7711eeccbda26f779ec70606e17dfb653094bbede286cd,../../examples/real_annotation_crops_loo/loo_PSP/PN148_3R_PID_DIV05__Series_2___1__crop_0006.json,73fe6549e88c93f35f19ec5db5a36b42b68d9fe8554e26fb83e38009fbb2e3b1,real_annotation_crop_0.1.0,real_crop_builder_0.1.0
PN148_3R_PID_DIV05__Series_2___1__crop_0007,train,real,PN148_3R_PID_DIV05__Series_2___1,../../examples/real_annotation_crops_loo/loo_PSP/PN148_3R_PID_DIV05__Series_2___1__crop_0007.npz,44c08f61d1ea527bbb6e1c6e39650c1ef73d132549ec036dceea059d9a418a99,../../examples/real_annotation_crops_loo/loo_PSP/PN148_3R_PID_DIV05__Series_2___1__crop_0007.json,7386ee65c3e77b49eba5191898fc29b6ab63b2661c19d3111e1f0aaf18215e6c,real_annotation_crop_0.1.0,real_crop_builder_0.1.0
PN148_3R_PID_DIV05__Series_2___1__crop_0008,train,real,PN148_3R_PID_DIV05__Series_2___1,../../examples/real_annotation_crops_loo/loo_PSP/PN148_3R_PID_DIV05__Series_2___1__crop_0008.npz,f8519a0d91dbf96996c8aadb12eeac682e313f94328681c72a147b25a920f73a,../../examples/real_annotation_crops_loo/loo_PSP/PN148_3R_PID_DIV05__Series_2___1__crop_0008.json,62581c34d6a53554ff454d096ca546107ce2501656abbbce4d1b5845bc7dec99,real_annotation_crop_0.1.0,real_crop_builder_0.1.0
PN148_3R_PID_DIV05__Series_2___1__crop_0009,train,real,PN148_3R_PID_DIV05__Series_2___1,../../examples/real_annotation_crops_loo/loo_PSP/PN148_3R_PID_DIV05__Series_2___1__crop_0009.npz,1dcdfe68bce7c42fe73cfe3546c5b17275f6e035735c49916c3128b027b5ef6e,../../examples/real_annotation_crops_loo/loo_PSP/PN148_3R_PID_DIV05__Series_2___1__crop_0009.json,1d091cac4d5f0198e35f8bbc74fe1099f921ec46a20620e8f69959158730a0f9,real_annotation_crop_0.1.0,real_crop_builder_0.1.0
