stable_image_id,source_root_id,relative_path,source_sha256,acquisition_group,blank_pool_role,assignment_reason,human_approved,blank_status,validation_source,validator_role,validation_date,notes
img_0edb6472854aea980f2a,sted_blank_data,PN148_3R_AD_DIV15 (Series 3) [1].tif,e80b5151baa1699d842c828669568e10ba0d2c9d3f1228bbf7f2e3eaf3d0ff8e,PN148_3R_AD_DIV15,synthetic_background_train,deterministic acquisition-group allocation for synthetic background and pure-blank QA pools,false,expert_validated,human_expert_review,STED expert,not_recorded,Expert-validated fiber-free blank; automated flags are QC only.
img_1672f71f16b77dc4d642,sted_blank_data,PN148_3R_AD_DIV15 (Series 9) [1].tif,fbca9d269628e4dba38b32dea5af9c7ad82f35aa69588fa06a26a7c26af97555,PN148_3R_AD_DIV15,synthetic_background_train,deterministic acquisition-group allocation for synthetic background and pure-blank QA pools,false,expert_validated,human_expert_review,STED expert,not_recorded,Expert-validated fiber-free blank; automated flags are QC only.
img_1ba419dc88931db47c8c,sted_blank_data,PN148_3R_AD_DIV15 (Series 14) [1].tif,dd161396fef820d440cb275eb1a0e955fb1dd6baecda1edfa330e32184b2b26c,PN148_3R_AD_DIV15,synthetic_background_train,deterministic acquisition-group allocation for synthetic background and pure-blank QA pools,false,expert_validated,human_expert_review,STED expert,not_recorded,Expert-validated fiber-free blank; automated flags are QC only.
img_22b8bcb88a805b153993,sted_blank_data,PN148_3R_AD_DIV15 (Series 0) [1].tif,53928f9afb722b049c6bac78c201cdc1efc05e5f6f849a43a26a722ee2022d43,PN148_3R_AD_DIV15,synthetic_background_train,deterministic acquisition-group allocation for synthetic background and pure-blank QA pools,false,expert_validated,human_expert_review,STED expert,not_recorded,Expert-validated fiber-free blank; automated flags are QC only.
img_44974790651d1b7badfa,sted_blank_data,PN148_3R_AD_DIV15 (Series 13) [1].tif,8fe54af41f482dc6c8bef0a3e2dc90cb60036aa4d11a83693e20df039766f8c0,PN148_3R_AD_DIV15,synthetic_background_train,deterministic acquisition-group allocation for synthetic background and pure-blank QA pools,false,expert_validated,human_expert_review,STED expert,not_recorded,Expert-validated fiber-free blank; automated flags are QC only.
img_52fd567a6489c2ee806f,sted_blank_data,PN148_3R_AD_DIV15 (Series 1) [1].tif,2d058a635107e4f03c3ed794af6f6db6aa3f49d2abaf940b454748e5291ba54e,PN148_3R_AD_DIV15,synthetic_background_train,deterministic acquisition-group allocation for synthetic background and pure-blank QA pools,false,expert_validated,human_expert_review,STED expert,not_recorded,Expert-validated fiber-free blank; automated flags are QC only.
img_5882372f16349d4ccf22,sted_blank_data,PN148_3R_AD_DIV15 (Series 8) [1].tif,b7154209002bc36271931190233128c6d07ce40e2f2a0895ec4e2845b84588a9,PN148_3R_AD_DIV15,synthetic_background_train,deterministic acquisition-group allocation for synthetic background and pure-blank QA pools,false,expert_validated,human_expert_review,STED expert,not_recorded,Expert-validated fiber-free blank; automated flags are QC only.
img_6fcc906a6259240a019e,sted_blank_data,PN148_3R_AD_DIV15 (Series 11) [1].tif,84d9923758ef84f0333147df084bcdf10284fc1f8b39e0c7fff9743622395f4b,PN148_3R_AD_DIV15,synthetic_background_train,deterministic acquisition-group allocation for synthetic background and pure-blank QA pools,false,expert_validated,human_expert_review,STED expert,not_recorded,Expert-validated fiber-free blank; automated flags are QC only.
img_7902deec8b57c29e9a62,sted_blank_data,PN148_3R_AD_DIV15 (Series 6) [1].tif,3b6cb1e66209766017bdec88b494c256100f7b293d9bfc1b028acc43de47b938,PN148_3R_AD_DIV15,synthetic_background_train,deterministic acquisition-group allocation for synthetic background and pure-blank QA pools,false,expert_validated,human_expert_review,STED expert,not_recorded,Expert-validated fiber-free blank; automated flags are QC only.
img_a538de08cfa15ee606a9,sted_blank_data,PN148_3R_AD_DIV15 (Series 12) [1].tif,4378e4a4db24f8f0045c7df94814a8b3143dbbbd347e135a9a421e4802b25451,PN148_3R_AD_DIV15,synthetic_background_train,deterministic acquisition-group allocation for synthetic background and pure-blank QA pools,false,expert_validated,human_expert_review,STED expert,not_recorded,Expert-validated fiber-free blank; automated flags are QC only.
img_ca042c3dcfcf09035923,sted_blank_data,PN148_3R_AD_DIV15 (Series 2) [1].tif,297f06db7d9d80b869e95ad0f2dfacc1fe1b19a7bf0def8c0bdafdfacf2a5de2,PN148_3R_AD_DIV15,synthetic_background_train,deterministic acquisition-group allocation for synthetic background and pure-blank QA pools,false,expert_validated,human_expert_review,STED expert,not_recorded,Expert-validated fiber-free blank; automated flags are QC only.
img_e346ea478db12b518ac8,sted_blank_data,PN148_3R_AD_DIV15 (Series 10) [1].tif,41604531d899f26e8938dce3e82f40ba3458089810db7772647b2a015bdf1237,PN148_3R_AD_DIV15,synthetic_background_train,deterministic acquisition-group allocation for synthetic background and pure-blank QA pools,false,expert_validated,human_expert_review,STED expert,not_recorded,Expert-validated fiber-free blank; automated flags are QC only.
img_e365a76f42760dd466b9,sted_blank_data,PN148_3R_AD_DIV15 (Series 5) [1].tif,a59e90ee6c250133d557be3871ed03dabc7cf24979844dec95d692589bb4b8ab,PN148_3R_AD_DIV15,synthetic_background_train,deterministic acquisition-group allocation for synthetic background and pure-blank QA pools,false,expert_validated,human_expert_review,STED expert,not_recorded,Expert-validated fiber-free blank; automated flags are QC only.
img_e5db75d93a225639e3a4,sted_blank_data,PN148_3R_AD_DIV15 (Series 4) [1].tif,67dc3f78f5a8da27fcdf07711c2e5d4670ea13d6686ae4ecc5f27067139cd714,PN148_3R_AD_DIV15,synthetic_background_train,deterministic acquisition-group allocation for synthetic background and pure-blank QA pools,false,expert_validated,human_expert_review,STED expert,not_recorded,Expert-validated fiber-free blank; automated flags are QC only.
img_fe985fa79b4211834161,sted_blank_data,PN148_3R_AD_DIV15 (Series 7) [1].tif,186070633e9592a9cb650ab9a3bc34170be974b0c7b6f1e2f47b0e0fef47dfa3,PN148_3R_AD_DIV15,synthetic_background_train,deterministic acquisition-group allocation for synthetic background and pure-blank QA pools,false,expert_validated,human_expert_review,STED expert,not_recorded,Expert-validated fiber-free blank; automated flags are QC only.
img_06d36760bbaf9a2f347b,sted_blank_data,PN148_3R_PID_DIV10 (Series 6) [1].tif,569dbe00b3311a4de615df9dc96b167a052428e4e5a56904c7ded8a0b58cf2c4,PN148_3R_PID_DIV10,synthetic_background_validation,deterministic acquisition-group allocation for synthetic background and pure-blank QA pools,false,expert_validated,human_expert_review,STED expert,not_recorded,Expert-validated fiber-free blank; automated flags are QC only.
img_06e6444a28b393d9c6d5,sted_blank_data,PN148_3R_PID_DIV10 (Series 12) [1].tif,feed407cf6781ad597e634c9eda13135c2fa6098ea20554822a16021d2a8be48,PN148_3R_PID_DIV10,synthetic_background_validation,deterministic acquisition-group allocation for synthetic background and pure-blank QA pools,false,expert_validated,human_expert_review,STED expert,not_recorded,Expert-validated fiber-free blank; automated flags are QC only.
