stable_image_id,source_kind,culture_id,disease,tau_isoform,experimental_condition,div,div_token,series_index,experimental_group_id,acquisition_group,eligibility,primary_metric_role,secondary_image_eval_role,assignment_reason,grouping_rule,human_approved,synthetic_split,override_status,override_reason
img_1959d9d25f6cfc60070a,fiber_image,PN148,AD,3R,AD_3R,3,DIV03,0,PN148_AD_3R_DIV03,PN148_3R_AD_DIV03,training,training,not_assigned,provisional experimental-group allocation: training,experimental_group_holdout_primary,false,not_applicable,none,none
img_857d8bd24d6057b89507,fiber_image,PN148,AD,3R,AD_3R,3,DIV03,1,PN148_AD_3R_DIV03,PN148_3R_AD_DIV03,training,training,not_assigned,provisional experimental-group allocation: training,experimental_group_holdout_primary,false,not_applicable,none,none
img_78427846b07df5eb251c,fiber_image,PN148,AD,3R,AD_3R,3,DIV03,2,PN148_AD_3R_DIV03,PN148_3R_AD_DIV03,training,training,not_assigned,provisional experimental-group allocation: training,experimental_group_holdout_primary,false,not_applicable,none,none
img_7dd848fffe5f7f5ef274,fiber_image,PN148,AD,3R,AD_3R,3,DIV03,3,PN148_AD_3R_DIV03,PN148_3R_AD_DIV03,training,training,not_assigned,provisional experimental-group allocation: training,experimental_group_holdout_primary,false,not_applicable,none,none
img_4d555ff97f5b63f168f8,fiber_image,PN148,AD,3R,AD_3R,3,DIV03,4,PN148_AD_3R_DIV03,PN148_3R_AD_DIV03,training,training,not_assigned,provisional experimental-group allocation: training,experimental_group_holdout_primary,false,not_applicable,none,none
img_8f0c5769644a9941a6e3,fiber_image,PN148,AD,3R,AD_3R,3,DIV03,5,PN148_AD_3R_DIV03,PN148_3R_AD_DIV03,training,training,not_assigned,provisional experimental-group allocation: training,experimental_group_holdout_primary,false,not_applicable,none,none
img_42817c9a5d32487f7e87,fiber_image,PN148,AD,3R,AD_3R,3,DIV03,6,PN148_AD_3R_DIV03,PN148_3R_AD_DIV03,training,training,not_assigned,provisional experimental-group allocation: training,experimental_group_holdout_primary,false,not_applicable,none,none
img_60d27b7997cc11df3559,fiber_image,PN148,AD,3R,AD_3R,3,DIV03,7,PN148_AD_3R_DIV03,PN148_3R_AD_DIV03,training,training,not_assigned,provisional experimental-group allocation: training,experimental_group_holdout_primary,false,not_applicable,none,none
img_85b5cc1474f363c08caf,fiber_image,PN148,AD,3R,AD_3R,3,DIV03,8,PN148_AD_3R_DIV03,PN148_3R_AD_DIV03,training,training,not_assigned,provisional experimental-group allocation: training,experimental_group_holdout_primary,false,not_applicable,none,none
img_6ac7c51d471c2737fda3,fiber_image,PN148,AD,3R,AD_3R,3,DIV03,9,PN148_AD_3R_DIV03,PN148_3R_AD_DIV03,training,training,not_assigned,provisional experimental-group allocation: training,experimental_group_holdout_primary,false,not_applicable,none,none
img_a7cb5c7ce1a3808ce615,fiber_image,PN148,AD,3R,AD_3R,3,DIV03,10,PN148_AD_3R_DIV03,PN148_3R_AD_DIV03,training,training,not_assigned,provisional experimental-group allocation: training,experimental_group_holdout_primary,false,not_applicable,none,none
img_bee96ff54c8c65ed14f5,fiber_image,PN148,AD,3R,AD_3R,3,DIV03,11,PN148_AD_3R_DIV03,PN148_3R_AD_DIV03,training,training,not_assigned,provisional experimental-group allocation: training,experimental_group_holdout_primary,false,not_applicable,none,none
img_27e3fe46349e697939aa,fiber_image,PN148,AD,3R,AD_3R,3,DIV03,12,PN148_AD_3R_DIV03,PN148_3R_AD_DIV03,training,training,not_assigned,provisional experimental-group allocation: training,experimental_group_holdout_primary,false,not_applicable,none,none
img_61e364d26b504ca9ad65,fiber_image,PN148,AD,3R,AD_3R,3,DIV03,13,PN148_AD_3R_DIV03,PN148_3R_AD_DIV03,training,training,not_assigned,provisional experimental-group allocation: training,experimental_group_holdout_primary,false,not_applicable,none,none
img_afaca9f73903d7d99868,fiber_image,PN148,AD,3R,AD_3R,3,DIV03,14,PN148_AD_3R_DIV03,PN148_3R_AD_DIV03,training,training,not_assigned,provisional experimental-group allocation: training,experimental_group_holdout_primary,false,not_applicable,none,none
img_efbd2f7426058325c7ff,fiber_image,PN148,AD,3R,AD_3R,5,DIV05,0,PN148_AD_3R_DIV05,PN148_3R_AD_DIV05,validation,validation,not_assigned,provisional experimental-group allocation: validation,experimental_group_holdout_primary,false,not_applicable,none,none
img_bc6f63665bc839fc047f,fiber_image,PN148,AD,3R,AD_3R,5,DIV05,1,PN148_AD_3R_DIV05,PN148_3R_AD_DIV05,validation,validation,not_assigned,provisional experimental-group allocation: validation,experimental_group_holdout_primary,false,not_applicable,none,none
img_a384df1a12d4f8b185b3,fiber_image,PN148,AD,3R,AD_3R,5,DIV05,2,PN148_AD_3R_DIV05,PN148_3R_AD_DIV05,validation,validation,not_assigned,provisional experimental-group allocation: validation,experimental_group_holdout_primary,false,not_applicable,none,none
img_6c2ecbaaa6ef986d7a8a,fiber_image,PN148,AD,3R,AD_3R,5,DIV05,3,PN148_AD_3R_DIV05,PN148_3R_AD_DIV05,validation,validation,not_assigned,provisional experimental-group allocation: validation,experimental_group_holdout_primary,false,not_applicable,none,none
img_fadc74fa80dfbd3600a9,fiber_image,PN148,AD,3R,AD_3R,5,DIV05,4,PN148_AD_3R_DIV05,PN148_3R_AD_DIV05,validation,validation,not_assigned,provisional experimental-group allocation: validation,experimental_group_holdout_primary,false,not_applicable,none,none
