sample_id,npz_path,metadata_path,schema_version,generator_version,parent_synthetic_sample_id,source_blank_id,source_synthetic_split,split
sted_blank_composites_training_candidate_schema08_0000,examples/sted_blank_composites_training_candidate_schema08/sted_blank_composites_training_candidate_schema08_0000.npz,examples/sted_blank_composites_training_candidate_schema08/sted_blank_composites_training_candidate_schema08_0000.json,synthetic_sted_3d_morphology_0.8.0,fibras_morphology_scene_3d_0.8.0,synthetic_sted_training_candidate_schema08_0000,img_014d9d77d1d61fed189b,synthetic_background_train,train
sted_blank_composites_training_candidate_schema08_0001,examples/sted_blank_composites_training_candidate_schema08/sted_blank_composites_training_candidate_schema08_0001.npz,examples/sted_blank_composites_training_candidate_schema08/sted_blank_composites_training_candidate_schema08_0001.json,synthetic_sted_3d_morphology_0.8.0,fibras_morphology_scene_3d_0.8.0,synthetic_sted_training_candidate_schema08_0001,img_093eea09221a4db0ebec,synthetic_background_train,train
sted_blank_composites_training_candidate_schema08_0002,examples/sted_blank_composites_training_candidate_schema08/sted_blank_composites_training_candidate_schema08_0002.npz,examples/sted_blank_composites_training_candidate_schema08/sted_blank_composites_training_candidate_schema08_0002.json,synthetic_sted_3d_morphology_0.8.0,fibras_morphology_scene_3d_0.8.0,synthetic_sted_training_candidate_schema08_0002,img_0d1c01fd26080936f42b,synthetic_background_train,train
sted_blank_composites_training_candidate_schema08_0003,examples/sted_blank_composites_training_candidate_schema08/sted_blank_composites_training_candidate_schema08_0003.npz,examples/sted_blank_composites_training_candidate_schema08/sted_blank_composites_training_candidate_schema08_0003.json,synthetic_sted_3d_morphology_0.8.0,fibras_morphology_scene_3d_0.8.0,synthetic_sted_training_candidate_schema08_0003,img_0d4cd0a31114b105cf51,synthetic_background_train,train
sted_blank_composites_training_candidate_schema08_0004,examples/sted_blank_composites_training_candidate_schema08/sted_blank_composites_training_candidate_schema08_0004.npz,examples/sted_blank_composites_training_candidate_schema08/sted_blank_composites_training_candidate_schema08_0004.json,synthetic_sted_3d_morphology_0.8.0,fibras_morphology_scene_3d_0.8.0,synthetic_sted_training_candidate_schema08_0004,img_0edb6472854aea980f2a,synthetic_background_train,train
sted_blank_composites_training_candidate_schema08_0005,examples/sted_blank_composites_training_candidate_schema08/sted_blank_composites_training_candidate_schema08_0005.npz,examples/sted_blank_composites_training_candidate_schema08/sted_blank_composites_training_candidate_schema08_0005.json,synthetic_sted_3d_morphology_0.8.0,fibras_morphology_scene_3d_0.8.0,synthetic_sted_training_candidate_schema08_0005,img_1672f71f16b77dc4d642,synthetic_background_train,train
sted_blank_composites_training_candidate_schema08_0006,examples/sted_blank_composites_training_candidate_schema08/sted_blank_composites_training_candidate_schema08_0006.npz,examples/sted_blank_composites_training_candidate_schema08/sted_blank_composites_training_candidate_schema08_0006.json,synthetic_sted_3d_morphology_0.8.0,fibras_morphology_scene_3d_0.8.0,synthetic_sted_training_candidate_schema08_0006,img_178ab769e005e689ff6f,synthetic_background_train,train
sted_blank_composites_training_candidate_schema08_0007,examples/sted_blank_composites_training_candidate_schema08/sted_blank_composites_training_candidate_schema08_0007.npz,examples/sted_blank_composites_training_candidate_schema08/sted_blank_composites_training_candidate_schema08_0007.json,synthetic_sted_3d_morphology_0.8.0,fibras_morphology_scene_3d_0.8.0,synthetic_sted_training_candidate_schema08_0007,img_1ba419dc88931db47c8c,synthetic_background_train,train
sted_blank_composites_training_candidate_schema08_0008,examples/sted_blank_composites_training_candidate_schema08/sted_blank_composites_training_candidate_schema08_0008.npz,examples/sted_blank_composites_training_candidate_schema08/sted_blank_composites_training_candidate_schema08_0008.json,synthetic_sted_3d_morphology_0.8.0,fibras_morphology_scene_3d_0.8.0,synthetic_sted_training_candidate_schema08_0008,img_22a6ba5828c46f12f6e5,synthetic_background_train,train
sted_blank_composites_training_candidate_schema08_0009,examples/sted_blank_composites_training_candidate_schema08/sted_blank_composites_training_candidate_schema08_0009.npz,examples/sted_blank_composites_training_candidate_schema08/sted_blank_composites_training_candidate_schema08_0009.json,synthetic_sted_3d_morphology_0.8.0,fibras_morphology_scene_3d_0.8.0,synthetic_sted_training_candidate_schema08_0009,img_22b8bcb88a805b153993,synthetic_background_train,train
sted_blank_composites_training_candidate_schema08_0010,examples/sted_blank_composites_training_candidate_schema08/sted_blank_composites_training_candidate_schema08_0010.npz,examples/sted_blank_composites_training_candidate_schema08/sted_blank_composites_training_candidate_schema08_0010.json,synthetic_sted_3d_morphology_0.8.0,fibras_morphology_scene_3d_0.8.0,synthetic_sted_training_candidate_schema08_0010,img_2e9cc5effd6823d55d02,synthetic_background_train,train
sted_blank_composites_training_candidate_schema08_0011,examples/sted_blank_composites_training_candidate_schema08/sted_blank_composites_training_candidate_schema08_0011.npz,examples/sted_blank_composites_training_candidate_schema08/sted_blank_composites_training_candidate_schema08_0011.json,synthetic_sted_3d_morphology_0.8.0,fibras_morphology_scene_3d_0.8.0,synthetic_sted_training_candidate_schema08_0011,img_34d44dfa65b93f389f95,synthetic_background_train,train
sted_blank_composites_training_candidate_schema08_0012,examples/sted_blank_composites_training_candidate_schema08/sted_blank_composites_training_candidate_schema08_0012.npz,examples/sted_blank_composites_training_candidate_schema08/sted_blank_composites_training_candidate_schema08_0012.json,synthetic_sted_3d_morphology_0.8.0,fibras_morphology_scene_3d_0.8.0,synthetic_sted_training_candidate_schema08_0012,img_380582f92698aae8c505,synthetic_background_train,train
